Date,CL=F,GC=F,NG=F,SI=F,^NSEBANK,^NSEI
2025-08-06,-0.012431018147092243,-0.0005617855047789222,0.022259107134299683,0.0020961754742510053,0.0009194040399023162,-0.003056914228121266
2025-08-07,-0.007303767166286335,0.006005931605954196,-0.00324991575540845,0.010379762689984862,0.001985160082434989,0.0008932609229541644
2025-08-08,0.0,0.011410772070393316,-0.02510593574436426,0.00678753772284435,-0.009298258673109738,-0.009466912735407229
2025-08-11,0.0012523170792080318,-0.025006541699268636,-0.012040138206226292,-0.019652785790503335,0.009196482074678825,0.009101804471857822
2025-08-12,-0.012351484159403792,-0.0012526304584333792,-0.04942447821117302,0.006292802283267784,-0.008413699711317224,-0.003971941790719136
2025-08-13,-0.008231702677522601,0.002926348685807545,0.007122500107407337,0.015831613402925715,0.0025025570947287967,0.005388453516712133
2025-08-14,0.0209097769622979,-0.006996754798475169,0.004596892195349422,-0.013428974735347321,0.0029068164395997798,0.00048543816407109475
2025-08-19,-0.016871644997116464,-0.00549270615491293,-0.04290659791632068,-0.018181302806909994,0.0023369559046753086,0.004168564680625764
2025-08-20,0.013793113574950722,0.009054144046657164,-0.005061438467363288,0.011915950329594915,-0.002983048325494786,0.0027981813736617234
2025-08-21,0.004904309093197945,-0.0019441287880170854,0.02688949099974236,0.008539943788736348,0.0010224551603723597,0.0013252889742787488
2025-08-22,0.002204020602007528,0.011237975695243652,-0.04529370916628328,0.02566591931624962,-0.010869803575113024,-0.008517482060098724
2025-08-25,0.017907684685488423,-0.00017776598298513413,-0.0007412361287749691,-0.00835833724065227,-0.00018309639880198514,0.003926417350905487
2025-08-26,-0.023919799054944124,0.00438675932596122,0.0077892832621320185,-0.0024561731928072206,-0.012492932495332676,-0.010241179872034878
2025-08-29,-0.009133070461711856,0.012209307578411543,0.01800270828604167,0.025771935994458817,-0.0030602387427501876,-0.0030223697933294824
2025-09-03,-0.024698813960013055,0.012340127918300414,0.018278440408152852,0.01146796233804892,0.007576280375878097,0.0055107151470170646
2025-09-04,-0.007659866642432012,-0.007625487786955487,0.0032637045750925076,-0.015189459380388515,0.00014608461796172811,0.0007788776228048189
2025-09-05,-0.025362328638335097,0.01329292211977151,-0.008457965344764617,0.003984307813467369,0.0007230926985335451,0.00027084730671167456
2025-09-08,0.00630352992373262,0.0068914388411576155,0.013779467045320404,0.008569834061510129,0.0013369353566743403,0.0012994782193525012
2025-09-09,0.005942864705379636,0.0014293040412012292,0.008737925429610716,-0.013228415802935989,0.0005389333186081036,0.003852930178235292
2025-09-10,0.016605414068235458,8.235633192543723e-05,-0.028232292659599367,0.006238100650602041,0.005900432312183623,0.0042020862308871365
2025-09-11,-0.02041776777833515,-0.001838894261971813,-0.03136349529030824,0.01371159856990345,0.002449786608845539,0.0012974116602184615
2025-09-12,0.0051306669922135395,0.00343699313581447,0.0023858109904626446,0.016548012198395412,0.00255533632507432,0.004339045410009845
2025-09-15,0.00973042947382785,0.008987792433232666,0.03468208045625909,0.003066913210082012,0.0014331651769012854,-0.0017838966811339896
2025-09-16,0.019273260990682273,0.0018195511543968035,0.019717365467634584,-0.0010818642302560244,0.004732376884969192,0.006777256391098607
2025-09-17,-0.00728446397647331,-0.0019246533393638687,-0.0009668131011127956,-0.01763557574524066,0.006268617473023097,0.003611475529465391
2025-09-18,-0.007494197253132273,-0.010348225637178965,-0.05193548977561124,-0.000359507923986202,0.004219400075389235,0.0036853015416349333
2025-09-19,-0.014000305079770237,0.007629620770278844,-0.017352800858663864,0.019876724557404746,-0.004819844798488071,-0.0037976065391384095
2025-09-22,-0.0006381766964356217,0.01884786903768898,-0.02839335763199502,0.02969250773750587,-0.0031392926033420032,-0.004923635718664832
2025-09-23,0.012292472306296265,0.010666492101799152,0.016749797373945885,0.008972843177088352,0.004069838427414485,-0.0013034343973540308
2025-09-24,0.024917174265249642,-0.012828651205417652,0.0017525813428975745,-0.009390860402732293,-0.006994266772954338,-0.00447365300760838
2025-09-25,-0.00015378530796217316,0.0012860868041868478,0.01609517255773829,0.02101555976806302,-0.0026360092023983706,-0.006626948212322681
2025-09-26,0.011388085957840577,0.010275936601965352,-0.023760332189980526,0.03409629556927718,-0.010674576718462059,-0.009487437927231501
2025-09-29,-0.03454048106512475,0.012078471360118748,0.15238092274632642,0.00845933308782909,0.0013173247233453367,-0.0008030448049409777
2025-09-30,-0.017021305249305896,0.005208235492420998,0.01101928796841456,-0.007701904304227791,0.003210583031894476,-0.0009661407544825362
2025-10-01,-0.009459678734839105,0.006951663932628138,0.05237665718237605,0.022420223562232833,0.01303352351771081,0.009150390492475902
2025-10-06,0.013304821688282953,0.01744484392910639,0.00992786761829434,0.010189730636546379,0.009275202714553732,0.007367178791287232
2025-10-07,0.0006484181620654006,0.007116651299544197,0.04200172453969131,-0.01878041396311514,0.0023972971365973095,0.0012222193924698033
2025-10-08,0.013283649779766593,0.016773110077421993,-0.04716980167567775,0.03130624533663995,-0.003931438687629352,-0.0024752925801897474
